S.No,Tourist Place,Fee,Timings,Closest Bus Stop,ImageURL
1,"Kovai Kutralam (Siruvani Waterfalls), Siruvani Main Road",₹60,10:00 AM - 3:00 PM,Kovai Kutralam Checkpost,https://images.unsplash.com/photo-1589985031624-3fbc0979caad?q=80&w=1000
2,"Isha Yoga Centre (Adiyogi), Poondi",₹0,6:00 AM - 8:00 PM,Isha Yoga,https://images.unsplash.com/photo-1707055745778-98e35ed1f692?q=80&w=1000
3,"TNAU Botanical Garden, Lawley Road",₹10,8:00 AM - 11:30 AM; 2:00 PM - 4:30 PM,TNAU,https://images.unsplash.com/photo-1466692476868-aef1dfb1e735?q=80&w=1000
4,"Gass Forest Museum, Forest College Campus",₹10,9:00 AM - 1:00 PM; 2:00 PM - 5:30 PM,North Coimbatore,https://images.unsplash.com/photo-1554907984-15263bfd63bd?q=80&w=1000
5,"G.D. Naidu Car Museum, Avinashi Road",₹100,9:00 AM - 6:30 PM,G.D. Naidu,https://images.unsplash.com/photo-1549488344-1f9b8d2bd1f3?q=80&w=1000
6,"VOC Park and Zoo, Central Coimbatore",₹5,10:00 AM - 7:30 PM,VOC Park,https://images.unsplash.com/photo-1534067783941-51c9c23ecefd?q=80&w=1000
7,"Marudhamalai Murugan Temple, Hill Top",₹0,6:00 AM - 1:00 PM; 4:00 PM - 8:30 PM,Marudhamalai Foothills,https://images.unsplash.com/photo-1548013146-72479768bbaa?q=80&w=1000
8,"Perur Pateeswarar Temple, Perur",₹0,5:30 AM - 1:00 PM; 4:00 PM - 9:00 PM,Perur,https://images.unsplash.com/photo-1548013146-72479768bbaa?q=80&w=1000
9,"Eachanari Vinayagar Temple, Pollachi Road",₹0,5:00 AM - 8:00 PM,Eachanari,https://images.unsplash.com/photo-1606293926075-69a00dbf7c82?q=80&w=1000
10,"Brookefields Mall, Brookebond Road",₹0,10:00 AM - 10:00 PM,Brookefields,https://images.unsplash.com/photo-1519420573924-65fcd45245f8?q=80&w=1000
11,"Kovai Kondattam Amusement Park, Perur Road",₹600,10:30 AM - 6:00 PM,Kovai Kondattam,https://images.unsplash.com/photo-1531844251246-9a1bfaae09fc?q=80&w=1000
12,"Black Thunder Water Theme Park, Mettupalayam",₹840,10:00 AM - 5:30 PM,Black Thunder,https://images.unsplash.com/photo-1513364776144-60967b0f800f?q=80&w=1000
13,"Dhyanalinga, Isha Yoga Center",₹0,7:00 AM - 8:00 PM,Isha Yoga,https://images.unsplash.com/photo-1707055745778-98e35ed1f692?q=80&w=1000
14,"Vaidehi Falls, Narasipuram",₹0,8:00 AM - 5:00 PM,Narasipuram,https://images.unsplash.com/photo-1433086966358-54859d09ed4c?q=80&w=1000
15,"Nilgiri Biosphere Nature Park, Anaikatti Road",₹100,9:00 AM - 5:00 PM,Anaikatti,https://images.unsplash.com/photo-1501854140801-50d01698950b?q=80&w=1000
